from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
3951,TAKA1,2,0,59__1__104__MNM__5011__1__5011__1_20260419,KPL__1__6223__RAIL__Rail_MTuWThF-XHol_20260419
9001,PETO1,2,0,150__1__440__TZM__410__410_20260419,HVL__1__3863__RAIL__Rail_SaSu_+_Hol_20260419
WAIK,1501,2,120,KPL__0__6334__RAIL__Rail_MTuWThF-XHol_20260419,281__0__127__UZM__4042__1__4042__1_20260419
9416,SILV,2,240,115__0__109__TZM__506__2__506__2_20260419,HVL__1__2621__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,226__0__425__TZM__301__1__301__1_20260419,KPL__1__6433__RAIL__Rail_SaSu_+_Hol_20260419
8165,WATE1,2,0,145__0__115__TZM__416__1__416__1_20260419,HVL__1__2637__RAIL__Rail_MTuWThF-XHol_20260419
9001,PETO1,2,0,154__0__101__TZM__404__6__404__6_20260419,HVL__1__4611__RAIL__Rail_MTuWThF-XHol_20260419
2001,PORI1,2,0,220__0__203__TZM__308__3__308__3_20260419,KPL__1__6347__RAIL__Rail_MTuWThF-XHol_20260419
2001,PORI1,2,0,220__0__203__TZM__308__10__308__10_20260419,KPL__1__6347__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,220__1__196__TZM__304__2__304__2_20260419,KPL__1__6347__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,220__1__196__TZM__304__14__304__14_20260419,KPL__1__6347__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,220__1__196__TZM__304__15__304__15_20260419,KPL__1__6347__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,220__1__196__TZM__304__16__304__16_20260419,KPL__1__6347__RAIL__Rail_MTuWThF-XHol_20260419
6733,6730,2,120,7__0__733__TZM__208__208_20260419,27__1__716__TZM__204__1__204__1_20260419
PORI2,2001,2,0,KPL__0__6230__RAIL__Rail_MTuWThF-XHol_20260419,226__0__115__TZM__319__319_20260419
PETO2,9001,2,0,MEL__0__5644__RAIL__Rail_MEL_WEST_20260419,154__0__135__TZM__405__6__405__6_20260419
PETO2,9001,2,0,HVL__0__4630__RAIL__Rail_MTuWThF-XHol_20260419,154__0__135__TZM__405__6__405__6_20260419
2002,PORI1,2,0,236__1__426__TZM__305__2__305__2_20260419,KPL__1__6463__RAIL__Rail_SaSu_+_Hol_20260419
6733,6730,2,120,7__0__101__TZM__208__3__208__3_20260419,27__1__100__TZM__208__3__208__3_20260419
8251,TAIT1,2,0,120__1__444__TZM__419__419_20260419,HVL__1__3837__RAIL__Rail_SaSu_+_Hol_20260419
PORI2,2001,2,0,KPL__0__6416__RAIL__Rail_SaSu_+_Hol_20260419,220__0__751__TZM__302__2__302__2_20260419
2001,PORI1,2,0,220__0__197__TZM__321__321_20260419,KPL__1__6341__RAIL__Rail_MTuWThF-XHol_20260419
2001,PORI1,2,0,220__0__197__TZM__321__3__321__3_20260419,KPL__1__6341__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,220__1__190__TZM__303__8__303__8_20260419,KPL__1__6341__RAIL__Rail_MTuWThF-XHol_20260419
9001,PETO1,2,0,150__1__714__TZM__405__405_20260419,HVL__1__3843__RAIL__Rail_SaSu_+_Hol_20260419
9001,PETO1,2,0,150__1__426__TZM__401__3__401__3_20260419,HVL__1__3843__RAIL__Rail_SaSu_+_Hol_20260419
2003,PORI1,2,0,210__1__118__TZM__306__3__306__3_20260419,KPL__1__6301__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,210__1__118__TZM__306__4__306__4_20260419,KPL__1__6301__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,210__1__106__TZM__315__1__315__1_20260419,KPL__1__8205__RAIL__Rail_MTuWThF-XHol_20260419
8165,WATE1,2,0,150__1__122__TZM__432__432_20260419,HVL__1__2631__RAIL__Rail_MTuWThF-XHol_20260419
WAIK,1501,2,120,KPL__0__6238__RAIL__Rail_MTuWThF-XHol_20260419,281__0__115__UZM__4021__1__4021__1_20260419
9525,TREN1,2,0,114__0__119__TZM__506__2__506__2_20260419,HVL__1__3615__RAIL__Rail_MTuWThF-XHol_20260419
3000,3000,2,240,1__0__145__TZM__224__224_20260419,19__0__147__TZM__204__3__204__3_20260419
9001,PETO1,2,0,154__0__139__TZM__420__420_20260419,MEL__1__5631__RAIL__Rail_MEL_WEST_20260419
UPPE,8579,2,240,HVL__0__3836__RAIL__Rail_SaSu_+_Hol_20260419,110__0__433__TZM__510__510_20260419
WAIK,1501,2,120,KPL__0__6454__RAIL__Rail_SaSu_+_Hol_20260419,281__0__421__UZM__719__1__719__1_20260419
WATE2,9140,2,0,HVL__0__2636__RAIL__Rail_MTuWThF-XHol_20260419,170__0__135__TZM__603__5__603__5_20260419
2002,PORI1,2,0,236__1__146__TZM__305__3__305__3_20260419,KPL__1__8205__RAIL__Rail_MTuWThF-XHol_20260419
2002,PORI1,2,0,236__1__146__TZM__305__9__305__9_20260419,KPL__1__8205__RAIL__Rail_MTuWThF-XHol_20260419
PETO2,9001,2,0,HVL__0__4628__RAIL__Rail_MTuWThF-XHol_20260419,150__0__149__TZM__410__1__410__1_20260419
WAIK,1501,2,120,KPL__0__6214__RAIL__Rail_MTuWThF-XHol_20260419,280__0__111__UZM__4211__1__4211__1_20260419
PARA2,1004,2,0,KPL__0__6338__RAIL__Rail_MTuWThF-XHol_20260419,260__0__157__UZM__4044__1__4044__1_20260419
8165,WATE1,2,0,130__1__704__TZM__406__406_20260419,HVL__1__3817__RAIL__Rail_SaSu_+_Hol_20260419
8165,WATE1,2,0,130__1__408__TZM__408__1__408__1_20260419,HVL__1__3817__RAIL__Rail_SaSu_+_Hol_20260419
WATE2,9165,2,0,HVL__0__3832__RAIL__Rail_SaSu_+_Hol_20260419,150__0__707__TZM__405__405_20260419
3081,3081,2,240,19__0__143__TZM__217__1__217__1_20260419,1__1__158__TZM__144__144_20260419
