stop_pattern_id,stop_id,stop_sequence,timepoint
4_1_20260419,5922,53,0
4_1_20260419,5923,54,0
4_1_20260419,5924,55,0
4_1_20260419,5925,56,0
4_1_20260419,5926,57,0
4_1_20260419,5927,58,0
4_1_20260419,5928,59,0
4_1_20260419,5929,60,0
4_1_20260419,5930,61,0
4_1_20260419,5931,62,0
4_1_20260419,5932,63,0
4_1_20260419,5933,64,0
4_1_20260419,5934,65,0
4_1_20260419,5935,66,1
HVU_1_20260419,8579,0,1
HVU_1_20260419,8537,1,1
HVU_1_20260419,9525,2,1
HVU_1_20260419,8421,3,1
HVU_1_20260419,8416,4,1
HVU_1_20260419,8299,5,1
HVU_1_20260419,8297,6,1
HVU_1_20260419,8294,7,1
HVU_1_20260419,8289,8,1
HVU_1_20260419,8220,9,1
HVU_1_20260419,9181,10,1
HVU_1_20260419,9154,11,1
HVU_1_20260419,8107,12,1
HVU_1_20260419,8011,13,1
HVU_1_20260419,9001,14,1
HVU_1_20260419,3256,15,1
HVU_1_20260419,0009,16,1
HVU_1_20260419,5017,17,1
203_0_20260419,1855,0,1
203_0_20260419,1856,1,0
203_0_20260419,1853,2,0
203_0_20260419,1861,3,0
203_0_20260419,1862,4,0
203_0_20260419,1863,5,0
203_0_20260419,1865,6,0
203_0_20260419,1866,7,0
203_0_20260419,1868,8,1
203_0_20260419,1870,9,0
203_0_20260419,1871,10,0
203_0_20260419,1872,11,0
203_0_20260419,1873,12,0
203_0_20260419,1876,13,0
203_0_20260419,1777,14,0
203_0_20260419,1879,15,0
203_0_20260419,1874,16,0
203_0_20260419,1875,17,0
203_0_20260419,1877,18,0
203_0_20260419,1878,19,0
203_0_20260419,1855,20,1
725_1_20260419,7937,0,1
725_1_20260419,7936,1,0
725_1_20260419,7935,2,0
725_1_20260419,7934,3,0
725_1_20260419,7933,4,0
725_1_20260419,7932,5,0
725_1_20260419,7931,6,0
725_1_20260419,7939,7,0
725_1_20260419,6948,8,0
725_1_20260419,6949,9,0
725_1_20260419,6950,10,0
725_1_20260419,6951,11,0
725_1_20260419,6952,12,0
725_1_20260419,6954,13,0
725_1_20260419,7955,14,0
725_1_20260419,7954,15,0
725_1_20260419,7953,16,0
725_1_20260419,6956,17,0
725_1_20260419,6957,18,0
725_1_20260419,6958,19,0
725_1_20260419,6959,20,0
725_1_20260419,7133,21,0
725_1_20260419,7132,22,0
725_1_20260419,7131,23,0
725_1_20260419,7129,24,0
725_1_20260419,7128,25,0
725_1_20260419,7126,26,0
725_1_20260419,7124,27,0
725_1_20260419,7123,28,0
725_1_20260419,7121,29,0
725_1_20260419,7120,30,0
725_1_20260419,7018,31,0
725_1_20260419,7017,32,0
725_1_20260419,7015,33,0
725_1_20260419,7014,34,1
725_1_20260419,7013,35,0
725_1_20260419,7012,36,0
725_1_20260419,6212,37,0
725_1_20260419,6213,38,0
725_1_20260419,6214,39,0
725_1_20260419,6008,40,1
725_1_20260419,6010,41,1
680_1_20260419,3200,0,1
680_1_20260419,3202,1,0
680_1_20260419,3204,2,0
680_1_20260419,3206,3,0
680_1_20260419,3208,4,0
680_1_20260419,3210,5,0
680_1_20260419,3212,6,0
680_1_20260419,3214,7,0
680_1_20260419,3216,8,0
680_1_20260419,3218,9,0
680_1_20260419,3220,10,0
680_1_20260419,3222,11,0
680_1_20260419,3224,12,0
680_1_20260419,3226,13,0
680_1_20260419,3228,14,0
680_1_20260419,3230,15,0
680_1_20260419,3232,16,0
680_1_20260419,3234,17,0
680_1_20260419,3236,18,0
680_1_20260419,3238,19,0
680_1_20260419,3240,20,0
680_1_20260419,3242,21,0
680_1_20260419,3244,22,0
680_1_20260419,3246,23,0
680_1_20260419,3008,24,1
680_1_20260419,3837,25,1
N8_1_20260419,8115,0,1
N8_1_20260419,8113,1,0
N8_1_20260419,8112,2,0
N8_1_20260419,8111,3,0
N8_1_20260419,8110,4,0
N8_1_20260419,8009,5,0
N8_1_20260419,8008,6,0
N8_1_20260419,8007,7,0
N8_1_20260419,8006,8,0
N8_1_20260419,8005,9,1
N8_1_20260419,8004,10,0
N8_1_20260419,8003,11,0
N8_1_20260419,8002,12,0
N8_1_20260419,8001,13,0
N8_1_20260419,4113,14,0
N8_1_20260419,5500,15,0
N8_1_20260419,5502,16,0
N8_1_20260419,5506,17,0
N8_1_20260419,5508,18,0
N8_1_20260419,5510,19,0
N8_1_20260419,5513,20,0
N8_1_20260419,5514,21,0
N8_1_20260419,5516,22,1
627_0_20260419,3466,0,1
627_0_20260419,3468,1,0
627_0_20260419,3470,2,0
627_0_20260419,3472,3,0
627_0_20260419,3474,4,0
627_0_20260419,3476,5,0
627_0_20260419,3478,6,0
627_0_20260419,3480,7,0
627_0_20260419,3482,8,0
627_0_20260419,3010,9,0
627_0_20260419,3012,10,0
627_0_20260419,3014,11,0
627_0_20260419,3016,12,0
627_0_20260419,3018,13,0
627_0_20260419,3020,14,0
627_0_20260419,3022,15,0
627_0_20260419,3024,16,0
627_0_20260419,3026,17,0
627_0_20260419,3028,18,0
627_0_20260419,3030,19,0
627_0_20260419,3034,20,0
627_0_20260419,3036,21,0
627_0_20260419,3038,22,0
627_0_20260419,3040,23,1
627_1_20260419,3050,0,1
627_1_20260419,3052,1,0
627_1_20260419,3054,2,0
627_1_20260419,3056,3,0
627_1_20260419,3058,4,0
627_1_20260419,3060,5,0
627_1_20260419,3062,6,0
627_1_20260419,3064,7,0
627_1_20260419,3066,8,0
627_1_20260419,3068,9,0
627_1_20260419,3070,10,0
627_1_20260419,3072,11,0
627_1_20260419,3074,12,0
627_1_20260419,3076,13,0
627_1_20260419,3078,14,0
627_1_20260419,3080,15,0
627_1_20260419,3400,16,0
627_1_20260419,3500,17,0
627_1_20260419,3502,18,0
627_1_20260419,3504,19,0
627_1_20260419,3506,20,0
627_1_20260419,3508,21,0
627_1_20260419,3510,22,0
627_1_20260419,3512,23,0
627_1_20260419,3514,24,0
627_1_20260419,3466,25,1
226_0_20260419,2324,0,1
226_0_20260419,2326,1,0
226_0_20260419,2328,2,0
226_0_20260419,2330,3,0
226_0_20260419,2332,4,0
226_0_20260419,2334,5,0
226_0_20260419,2336,6,0
226_0_20260419,2338,7,0
226_0_20260419,2340,8,0
226_0_20260419,2342,9,1
226_0_20260419,2344,10,0
226_0_20260419,2346,11,0
226_0_20260419,2348,12,0
226_0_20260419,2350,13,0
226_0_20260419,2352,14,0
226_0_20260419,2354,15,0
226_0_20260419,2356,16,0
226_0_20260419,2005,17,0
226_0_20260419,2001,18,1
226_0_20260419,2011,19,0
226_0_20260419,2006,20,0
226_0_20260419,2008,21,0
226_0_20260419,2012,22,0
226_0_20260419,2014,23,1
226_0_20260419,2801,24,0
226_0_20260419,2868,25,1
226_0_20260419,2870,26,0
226_0_20260419,2872,27,0
226_0_20260419,2874,28,0
226_0_20260419,2876,29,0
226_0_20260419,2878,30,0
226_0_20260419,2880,31,1
226_0_20260419,2881,32,0
226_0_20260419,2022,33,1
226_0_20260419,2026,34,0
226_0_20260419,2028,35,0
226_0_20260419,2030,36,0
226_0_20260419,2003,37,1
226_0_20260419,2011,38,0
226_0_20260419,2300,39,0
226_0_20260419,2301,40,0
226_0_20260419,2302,41,0
226_0_20260419,2304,42,0
226_0_20260419,2306,43,0
226_0_20260419,2308,44,0
226_0_20260419,2310,45,0
226_0_20260419,2312,46,0
226_0_20260419,2331,47,1
226_0_20260419,2323,48,0
226_0_20260419,2333,49,0
226_0_20260419,2335,50,0
226_0_20260419,2337,51,0
226_0_20260419,2321,52,0
226_0_20260419,2318,53,0
226_0_20260419,2320,54,0
226_0_20260419,2322,55,0
226_0_20260419,2324,56,1
KPU_1_20260419,1501,0,1
KPU_1_20260419,1001,1,1
KPU_1_20260419,0010,2,1
KPU_1_20260419,1690,3,1
KPU_1_20260419,2857,4,1
KPU_1_20260419,2597,5,1
KPU_1_20260419,0011,6,1
KPU_1_20260419,2519,7,1
KPU_1_20260419,2600,8,1
KPU_1_20260419,2020,9,1
KPU_1_20260419,3944,10,1
KPU_1_20260419,3931,11,1
KPU_1_20260419,3943,12,1
KPU_1_20260419,3949,13,1
KPU_1_20260419,3951,14,1
KPU_1_20260419,0009,15,1
KPU_1_20260419,5017,16,1
762_0_20260419,6018,0,1
762_0_20260419,6081,1,1
762_0_20260419,6234,2,0
762_0_20260419,6235,3,0
762_0_20260419,6236,4,0
762_0_20260419,7246,5,0
762_0_20260419,7245,6,0
762_0_20260419,7244,7,0
762_0_20260419,7242,8,0
762_0_20260419,7241,9,1
762_0_20260419,7240,10,0
762_0_20260419,7239,11,0
762_0_20260419,7238,12,0
762_0_20260419,6272,13,0
762_0_20260419,6273,14,0
762_0_20260419,6274,15,0
762_0_20260419,6087,16,0
762_0_20260419,6088,17,0
762_0_20260419,6089,18,0
762_0_20260419,6036,19,0
762_0_20260419,6037,20,0
762_0_20260419,6038,21,0
762_0_20260419,6039,22,0
762_0_20260419,6040,23,0
762_0_20260419,6041,24,0
762_0_20260419,6042,25,0
762_0_20260419,7042,26,1
KPU_0_20260419,5017,0,1
KPU_0_20260419,3941,1,1
KPU_0_20260419,3939,2,1
KPU_0_20260419,3953,3,1
KPU_0_20260419,3935,4,1
KPU_0_20260419,3932,5,1
KPU_0_20260419,2020,6,1
KPU_0_20260419,2600,7,1
KPU_0_20260419,2519,8,1
KPU_0_20260419,2597,9,1
KPU_0_20260419,2757,10,1
KPU_0_20260419,1690,11,1
KPU_0_20260419,1003,12,1
KPU_0_20260419,1501,13,1
110_0_20260419,9000,0,1
110_0_20260419,9002,1,0
110_0_20260419,9003,2,0
110_0_20260419,9004,3,0
110_0_20260419,9005,4,0
110_0_20260419,9007,5,0
110_0_20260419,9008,6,0
110_0_20260419,9009,7,0
110_0_20260419,9110,8,0
110_0_20260419,9111,9,0
110_0_20260419,9112,10,0
110_0_20260419,9113,11,0
110_0_20260419,9114,12,0
110_0_20260419,9115,13,1
110_0_20260419,0911,14,0
110_0_20260419,9118,15,0
110_0_20260419,9121,16,0
110_0_20260419,9122,17,0
110_0_20260419,9223,18,1
110_0_20260419,9224,19,0
110_0_20260419,9225,20,0
110_0_20260419,9226,21,0
110_0_20260419,9227,22,0
110_0_20260419,9228,23,0
110_0_20260419,9229,24,0
110_0_20260419,9231,25,0
110_0_20260419,9232,26,0
110_0_20260419,9233,27,0
110_0_20260419,9234,28,0
110_0_20260419,9235,29,0
110_0_20260419,9236,30,0
110_0_20260419,9237,31,0
110_0_20260419,9238,32,0
110_0_20260419,9239,33,0
110_0_20260419,9240,34,0
110_0_20260419,9241,35,0
110_0_20260419,9242,36,0
110_0_20260419,9256,37,0
110_0_20260419,9257,38,0
110_0_20260419,9360,39,1
